feature,importance
seq_iat_01,0.21174452632729426
seq_iat_02,0.1730532788352475
entropy,0.1572431629042675
seq_iat_04,0.08819968371587757
seq_iat_03,0.08409655698889322
seq_size_02,0.08125197505727261
seq_size_04,0.06828622577090934
seq_size_01,0.049822918636102435
seq_size_03,0.025113208917686695
seq_dir_02,0.020360049529677297
seq_dir_01,0.013759586893692362
seq_dir_03,0.012609024283997888
seq_dir_04,0.008652820309062271
seq_dir_00,0.00423883825337772
seq_size_00,0.0015681435766412356
seq_iat_00,0.0
