,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,39,17,20,18,41,30
true_2,0,8,86,9,8,27,39
true_3,0,14,12,44,16,36,46
true_4,0,16,14,20,48,43,30
true_5,0,17,19,16,15,173,92
true_6,2,22,16,23,27,98,132
