,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,42,16,17,17,42,31
true_2,0,9,86,10,8,24,40
true_3,0,14,14,45,15,35,45
true_4,0,14,14,22,47,44,30
true_5,0,20,17,17,19,164,95
true_6,2,20,14,21,29,101,133
