feature,importance
seq_iat_01,0.19806776027483422
seq_iat_02,0.16309404405952008
entropy,0.14748924813191233
seq_iat_04,0.07586309975835644
seq_iat_03,0.07212885352454823
seq_size_02,0.06767066890974473
seq_size_04,0.05839539788738088
seq_size_01,0.03527878923736016
seq_iat_06,0.02539443765916951
seq_iat_05,0.025381900990076825
seq_dir_07,0.02323216123629641
seq_size_03,0.018871616085236347
seq_dir_02,0.01354339412946352
seq_dir_01,0.012256859772531877
seq_dir_06,0.010214015714783864
seq_dir_03,0.009497530418853704
seq_size_05,0.0094861639720538
seq_dir_04,0.007095353676436046
seq_dir_05,0.006177831011472946
seq_size_07,0.005994173739614156
seq_size_06,0.005965973378530829
seq_iat_07,0.004110542232951213
seq_dir_00,0.003414952906963648
seq_size_00,0.0013752312919081849
seq_iat_00,0.0
