,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,40,16,18,19,44,28
true_2,0,8,84,10,10,26,39
true_3,0,14,15,44,14,37,44
true_4,0,15,14,22,45,46,29
true_5,0,18,16,17,20,166,95
true_6,2,18,17,22,29,100,132
