,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,150,3,3,1,4,4
true_2,0,2,171,0,1,1,2
true_3,0,4,0,153,4,4,3
true_4,0,5,4,13,136,8,5
true_5,0,3,5,4,6,305,9
true_6,0,4,1,7,4,10,294
