feature,importance
seq_iat_01,0.20009170268756998
seq_iat_02,0.16640385590659518
entropy,0.14591286845733814
seq_iat_04,0.07711031506354257
seq_iat_03,0.07430775135531514
seq_size_02,0.06303138414132294
seq_size_04,0.049683798522370086
seq_size_01,0.033348444896893016
seq_iat_05,0.025409415201876027
seq_iat_06,0.024412257838596896
seq_size_03,0.017443591887514227
seq_dir_07,0.013835026646082176
seq_dir_01,0.0116810163313846
seq_dir_02,0.010064070002559012
seq_dir_09,0.00772315934740417
seq_dir_06,0.007352211389985063
seq_size_05,0.006815852316048976
seq_dir_08,0.006355534920940699
seq_dir_03,0.005801138872568035
seq_dir_04,0.0051590745895675515
seq_size_06,0.00461125271818243
seq_size_07,0.004032665867607141
seq_iat_07,0.003466269228804273
seq_dir_11,0.0030882549017798903
seq_dir_05,0.0030390922118928676
seq_dir_00,0.0028789251575137443
seq_dir_14,0.0025369782550940323
seq_dir_13,0.0023571128194184612
seq_dir_10,0.002188986689643201
seq_dir_12,0.0021856248650742698
seq_iat_08,0.0019743930236363954
seq_size_08,0.00186864793617107
seq_iat_09,0.0014481037181117745
seq_size_00,0.0014194822752106456
seq_size_09,0.0009021098415758615
seq_dir_15,0.0008982803205546203
seq_dir_17,0.0008551187335847363
seq_dir_16,0.0008391957462966843
seq_iat_11,0.0007411035009743388
seq_dir_19,0.0006402862329237259
seq_iat_10,0.0006188817221839797
seq_dir_18,0.0006148152281527928
seq_iat_13,0.000586194215576412
seq_iat_14,0.0005305553392872275
seq_size_10,0.0004742905586196942
seq_iat_12,0.0004416026729837657
seq_iat_18,0.0003128515491890992
seq_size_11,0.0002916226443602712
seq_size_13,0.00027586728372316297
seq_iat_16,0.00025247851642617585
seq_iat_17,0.00025076707302228195
seq_size_12,0.0002262320966332957
seq_iat_19,0.000214460361300507
seq_iat_15,0.0002143280859381236
seq_size_14,0.0002041190080377996
seq_size_15,0.00016160457534138194
seq_size_16,0.0001415980817393878
seq_size_19,0.0001019645067349609
seq_size_17,9.448125892184045e-05
seq_size_18,7.693080230340734e-05
seq_iat_00,0.0
