,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,72,15,13,17,27,21
true_2,0,10,116,7,5,14,25
true_3,0,12,11,80,11,28,26
true_4,0,16,11,22,74,27,21
true_5,0,14,20,13,13,213,59
true_6,0,15,13,16,24,60,192
