,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,35,16,21,17,45,31
true_2,0,7,84,12,11,27,36
true_3,0,14,15,44,15,35,45
true_4,1,15,16,22,44,44,29
true_5,0,19,18,16,20,159,100
true_6,2,22,15,23,29,96,133
