,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,3009,0,0,0,0,0,0
true_1,0,49,13,14,13,40,36
true_2,0,7,87,9,11,31,32
true_3,0,9,11,54,17,36,41
true_4,0,8,16,18,54,46,29
true_5,1,19,20,16,12,175,89
true_6,0,17,19,27,22,99,136
